Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Chickpeas,44,0.7g,0g,0g,0mg,47.3mg,7.1g,1.4g,1.4g,2.4g
Cucumber Tomato Salad w/Fresh Herbs,12,0g,0g,0g,0mg,44.2mg,2.7g,0.5g,1.4g,0.4g
Harissa Braised Zucchini,46,3.4g,0.5g,0g,0mg,96.9mg,4.2g,1.2g,2g,0.9g
Harissa Lemon Vinaigrette,150,16.8g,2g,0g,0mg,113.9mg,1.2g,0.1g,0.6g,0.1g
Moroccan Rice w/Raisins,83,0.6g,0.1g,0g,0mg,116.4mg,17.1g,0.7g,2.4g,1.4g
Moroccan Stewed Lentils,32,0.6g,0.1g,0g,0mg,44.1mg,6.2g,1.9g,0.1g,2.1g
Pumpkin Seeds/Pepitas,71,4.3g,0.7g,0g,0mg,7.1mg,4.3g,0.9g,0.9g,2.8g
Raisins,83,0.1g,0g,0g,0mg,7.2mg,22.1g,1.3g,18.1g,0.9g
Sesame Seeds,21,1.9g,0.3g,0g,0mg,1.5mg,0.3g,0.1g,0g,0.9g
Spring Mix,2,0g,0g,0g,0mg,9.9mg,0.5g,0.1g,0.1g,0.2g
Wilted Swiss Chard,42,2.3g,0.2g,0g,0mg,247mg,4.7g,1.9g,1.3g,2.1g
Blueberry Cobbler,152,3.8g,1.2g,0g,0mg,81.2mg,28.9g,1.4g,14.4g,1.7g
Tiramisu Cake,118,8g,4.8g,0.2g,43.4mg,14.5mg,13.1g,0g,9.1g,2.1g
Honey Wheat Bread,35,0.2g,0g,0g,0mg,44.3mg,7.1g,0.4g,0.5g,1.2g
Tantanmen Ramen Bar,520,32.7g,6.1g,0g,179.8mg,1743.5mg,49.4g,3.1g,3.9g,22.9g
Kung Pao Peanut Chicken,275,14.1g,2.5g,0.1g,42.7mg,1059mg,21.6g,2g,9.3g,15.2g
Citrus Basmati Rice,140,3.4g,0.3g,0g,0mg,73.5mg,23.9g,1.3g,0.2g,2.5g
Creamy Cucumber Salad,25,1.2g,0.5g,0g,1.6mg,78.6mg,2.5g,0.3g,1.5g,1.5g
Marinated Artichoke Hearts,27,1.5g,0.2g,0g,0mg,162.1mg,2.9g,0.5g,0g,1g
Peppers Red Roasted,5,0g,0g,0g,0mg,67.6mg,1.5g,0g,1.1g,0.2g
Slow Roasted Turkish Chicken & Vegetables,182,8.6g,2.2g,0g,29.8mg,146.9mg,16.7g,2.5g,1.8g,9.4g
Grape Tomatoes,15,0g,0g,0g,0mg,0mg,3g,0.9g,2g,0.5g
Green Olives,45,3g,0g,0g,0mg,781.8mg,3g,0g,0g,0g
Paprika Lemon Vinaigrette,146,16.5g,1.9g,0g,0mg,98.2mg,1g,0.1g,0.5g,0g
Roasted Cauliflower Salad,61,5.5g,0.7g,0g,0mg,259.8mg,2.6g,1.2g,0.8g,1.1g
"Roasted Pepper, Tomato Salad",68,6g,0.6g,0g,0mg,186.5mg,3.8g,0.8g,1.8g,0.9g
Saffron Rice Pilaf,266,5.7g,0.4g,0g,0mg,274.2mg,46.8g,2.6g,0.3g,4.6g
Spanish Pisto (Vegetable Stew),88,6.1g,0.9g,0g,0mg,282.1mg,7.2g,2g,3.2g,1.5g
Stewed Chickpeas,108,3.4g,0.3g,0g,0mg,337.9mg,15.3g,3g,3.5g,4.7g
Beef Barbacoa Nacho Bar,389,23.5g,9.7g,0g,45.9mg,726.8mg,30.1g,4.1g,3g,12.6g
Corn w/Red Peppers,75,2.3g,0.3g,0g,0mg,36.2mg,13.8g,1.6g,4.9g,2.4g
Homemade Guacamole,19,1.2g,0.1g,0g,0mg,43.3mg,2.3g,0.3g,0.8g,0.2g
Plant Based Chorizo Crumbles,53,3.8g,0.5g,0g,0mg,201.8mg,2.9g,2.4g,0.5g,4.3g
