Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Buffalo Chicken Wrap,463,24.3g,4.2g,0g,48.6mg,838.5mg,38.6g,2.1g,1.4g,22.8g
Buffalo Chicken Wrap,877,53.2g,9g,0g,71.9mg,1389.3mg,74.6g,6.7g,5.1g,31g
Buffalo Chicken Wrap,356,14.6g,2.4g,0g,29.7mg,568.3mg,38.4g,2.2g,0.8g,17.5g
Buffalo Chicken Wrap,364,12.5g,5.5g,0g,53.3mg,924.4mg,38.1g,0.2g,0.1g,21.4g
Buffalo Wings,283,23.3g,4.9g,0g,56.2mg,225.6mg,0.3g,0g,0.1g,17.4g
Bun Bo Hue (Vietnamese Beef Soup Broth),195,9.2g,2.9g,0g,49mg,1377.7mg,9.6g,1.3g,3.1g,17.2g
Bun Heo Quay (Crispy Pork Belly Bowl),398,31.3g,11.1g,0g,40.7mg,387.9mg,22.9g,1.4g,9.5g,7.6g
"Bun Rieu-Vietnamese Noodle Bowl (Pork, Crab, Shrimp)",415,9.9g,3.3g,0g,88.2mg,1588.5mg,64.4g,0.7g,3.5g,14.9g
Burger Bar,842,50.3g,17.5g,0g,100.9mg,1284.2mg,62.6g,3.5g,5.7g,34.3g
Burger Bar,468,21.9g,6.7g,0.6g,72.5mg,747.8mg,48.1g,5.7g,67.7g,20.8g
Bush's Baked Beans,63,0.2g,0g,0g,0mg,213.7mg,12.9g,1.9g,5.6g,2.7g
Butter Croissant,150,8g,5g,0g,30mg,180mg,15g,1g,2g,3g
Buttermilk Pancakes,203,4.1g,1g,0g,10.1mg,465.8mg,37.5g,0g,7.1g,5.1g
Butternut Risotto,178,6.9g,2.8g,0g,11.2mg,178mg,23.4g,1.7g,0.9g,3.7g
Butternut Squash,53,0.9g,0.1g,0g,0mg,84.9mg,12.1g,1.7g,4g,0.8g
Butternut Squash w/Sage,61,2.8g,0.4g,0g,0mg,243.6mg,9.8g,1.7g,1.8g,0.9g
Butterscotch Walnut Blondie,152,6.1g,2.9g,0g,23.7mg,70.1mg,24.1g,0g,16.2g,1.8g
Butterscotch Walnut Blondie,228,9.1g,4.4g,0g,35.6mg,105.2mg,36.2g,0g,24.3g,2.8g
Caesar Salad,492,41.6g,8.1g,0g,40.1mg,997.3mg,26.1g,0g,1.3g,10.9g
Caesar Salad,73,5.7g,1.2g,0g,6mg,135mg,4.7g,0g,0.7g,2.3g
Caesar Salad Wrap,827,51.6g,9.1g,0g,40.1mg,1227.3mg,78.6g,4.5g,2.3g,20.4g
Cajun Chicken Thigh,105,3.6g,1g,0g,81.4mg,185.4mg,0g,0g,0g,17g
Cajun Red Beans & Rice,48,0.4g,0g,0g,0mg,45.5mg,9.1g,1g,0.8g,1.2g
Calabaza y Espinaca al Chipotle,45,2.5g,0.2g,0g,0mg,58.9mg,5.3g,1.1g,1.5g,0.9g
California Roll,238,2.5g,0.3g,0g,6.7mg,688.4mg,44.5g,1.4g,3.3g,8.9g
California Roll,230,1.5g,0.2g,0g,3.3mg,817mg,47.7g,0.9g,13.4g,6g
